cliente,total_facturado,factura_promedio,factura_max,factura_min,cantidad_facturas
Marcela Milena Leal,1330019.4000000001,133001.94,288336.0,30380.6,10
Néstor Ramiro Sánchez,1321516.8,165189.6,235656.0,53709.7,8
Alejandra Lucía Salazar,1315302.2,131530.22,218076.0,71572.4,10
Luz Margarita Ballesteros,1310814.1,163851.7625,263985.0,98849.1,8
Marcela Ruth Rodríguez,1310035.2,187147.88571428572,270995.0,89268.2,7
Ana Stella García Burbano,1304916.1,163114.5125,243797.0,82845.1,8
Alexander Reyes Rivas,1300543.5,130054.35,232955.0,59688.9,10
Bertha Camacho,1295602.2,161950.275,212293.0,82984.2,8
Marina Alba Muñoz Pérez,1285567.8,160695.975,245024.0,91813.8,8
Alexander Narváez León,1285450.0,183635.7142857143,295049.0,137786.0,7
  Jhon Sarmiento  ,1278695.2,159836.9,220578.0,98729.2,8
Sergio Rojas Rodríguez,1277709.5,182529.92857142858,272154.0,70016.5,7
Ana Patricia Restrepo Herrera,1276397.7,127639.76999999999,234301.0,52036.9,10
María Isabel Vargas Giraldo,1269039.0,158629.875,251878.0,109053.0,8
Mercedes Bermúdez,1265445.6,140605.06666666668,297551.0,66194.9,9
Alejandra Rojas López,1265027.5,158128.4375,291070.0,76559.3,8
Camilo Manuel Ortiz,1264960.8,105413.40000000001,173529.0,40864.9,12
María Corredor Mosquera,1262004.1,157750.5125,256914.0,49837.7,8
Steven Torres,1260849.0,180121.2857142857,245938.0,101512.0,7
Martín Betancur,1247851.1,138650.12222222224,189671.0,89988.1,9
Marina Cristina Ardila González,1235992.6,205998.7666666667,288282.0,95573.6,6
Yuli Ortiz,1230238.9,175748.41428571427,268159.0,67076.9,7
Patricia Marcela Lozano García,1219127.1,135458.56666666668,280624.0,-103989.0,9
Óscar Mauricio Delgado,1214835.1,134981.67777777778,195600.0,77976.1,9
Jhon Humberto Castro,1213839.9,151729.9875,270277.0,60793.9,8
José Antonio Rodríguez Ospino,1211443.0,173063.2857142857,292292.0,91413.3,7
Cecilia Rojas,1210750.2,134527.8,234611.0,37440.6,9
Esperanza Leydi Palacios,1208465.3,172637.9,296071.0,42968.2,7
Sebastián González Jaimes,1204442.4,172063.19999999998,240626.0,47033.4,7
Andrea Wendy Restrepo,1200709.0,171529.85714285713,248746.0,122047.0,7
Yeison Luis Bolívar,1194928.9,149366.1125,195769.0,95982.9,8
Julieth Marín Jaimes,1194049.0,199008.16666666666,291180.0,103781.0,6
Yenifer Carolina Pinzón Marín,1191846.0,238369.2,287303.0,197499.0,5
María Aguilar,1180181.9,147522.7375,270551.0,57586.8,8
Raúl Rafael Perdomo,1175178.3,146897.2875,219058.0,44449.2,8
Francy Diana Castro,1170036.4,146254.55,210837.0,72431.7,8
María Mónica Rivera Hernández,1164940.0,166420.0,286420.0,61888.0,7
José Alfonso Guerra Hernández,1163647.0,166235.2857142857,246930.0,62799.4,7
Wilson Rico,1163459.3,166208.47142857144,248470.0,73710.8,7
Maribel Pardo Gutiérrez,1161287.0,193547.83333333334,288943.0,120603.0,6
Esther Ana Sanabria Peña,1159771.5,144971.4375,242834.0,69246.0,8
Alejandro Vargas,1143601.2,163371.6,225774.0,88262.2,7
Claudia Miryam Díaz Oviedo,1142155.9,142769.4875,216127.0,65716.9,8
Claudia Arenas,1137445.4,142180.675,259004.0,66762.9,8
Sebastián Arturo Salazar,1129939.2,161419.88571428572,242467.0,74594.5,7
Carlos Serna Angarita,1127413.2,187902.19999999998,290417.0,98434.2,6
Ana Álvarez Rodríguez,1126356.0,225271.2,297153.0,154922.0,5
Diana Rodríguez,1112816.2,139102.025,239118.0,68567.8,8
Francisco Rodríguez,1110524.1,185087.35,295033.0,75574.5,6
Myriam Cindy Murillo Cardona,1108183.0,184697.16666666666,277821.0,105783.0,6
Agustín Ramírez Bernal,1106446.5,110644.65,196899.0,57074.5,10
Virginia Rico Rodríguez,1102354.2,157479.17142857143,237490.0,91847.0,7
Karen Castro,1097939.0,137242.375,267032.0,66329.0,8
Luz Maribel Correa,1096397.0,182732.83333333334,244764.0,144332.0,6
Doris Martha Alarcón,1093850.3,109385.03,186024.0,57799.1,10
Javier Norberto Morales Rangel,1079777.9,154253.9857142857,218339.0,69620.9,7
Aura Mosquera,1078812.0,179802.0,222847.0,106961.0,6
Esperanza Rojas Mercado,1076752.7,153821.81428571427,249445.0,95030.4,7
Mabel Cardona,1075788.0,153684.0,245763.0,114784.0,7
Oswaldo Felix Londoño Díaz,1073864.4,153409.19999999998,273324.0,94913.4,7
Antonio Andrés Zuluaga Uribe,1072796.0,178799.33333333334,238925.0,111583.0,6
Diana Amanda Ochoa,1071880.9,133985.1125,210551.0,61858.1,8
Álvaro Daza Pérez,1070614.7,152944.95714285714,295221.0,80237.4,7
Cindy Castro Contreras,1066948.6,152421.2285714286,227246.0,80986.9,7
Orlando Hernández,1063109.0,151872.7142857143,259442.0,114420.0,7
Nelson Juan Sánchez Caicedo,1061952.0,212390.4,280263.0,144192.0,5
María Flórez Gutiérrez,1060871.9,151553.12857142856,265382.0,85089.6,7
Judith Johana Camacho Muñoz,1060084.0,212016.8,292399.0,149093.0,5
Luz Daniela Salazar,1059278.9,117697.65555555554,248126.0,31887.0,9
David Pablo Gómez,1058795.2,151256.45714285714,248721.0,79465.2,7
Gloria Claudia Ruiz,1057586.5,132198.3125,225517.0,41510.6,8
Javier Naranjo,1057314.6,211462.92,279565.0,89573.6,5
Luis Buitrago Méndez,1054598.2,150656.88571428572,222807.0,84122.2,7
Sandra Ofelia Martínez Oviedo,1048111.0,174685.16666666666,286621.0,119228.0,6
Germán Arrieta Mejía,1046960.6,149565.8,176954.0,78330.6,7
Angélica Parada López,1046574.7,116286.07777777777,161756.0,33225.1,9
Amanda Amaya Cáceres,1043066.1,149009.44285714286,293092.0,61429.6,7
Jesús Díaz Pardo,1042581.0,173763.5,246788.0,144882.0,6
Sandra Cruz Bermúdez,1041461.1,115717.9,176256.0,68043.9,9
Francisco Pedraza,1041132.3,130141.5375,209805.0,58912.2,8
Guillermo Parra,1039116.3,173186.05000000002,294680.0,31704.3,6
Santiago Edgardo Vergara Mesa,1037242.0,172873.66666666666,266339.0,115382.0,6
Jairo Diego Ojeda,1035299.2,129412.4,189851.0,63419.0,8
Jhon Sebastián Rodríguez,1034244.0,172374.0,246031.0,115921.0,6
Johana Vásquez,1033231.4,206646.28,265457.0,89599.4,5
Patricia Alejandra Pineda,1030390.0,171731.66666666666,241948.0,104491.0,6
Daniela Nubia Sánchez,1029540.9,147077.27142857143,205679.0,62570.7,7
Mariela Vargas Agudelo,1026891.1,146698.72857142857,247279.0,87679.5,7
José Ocampo,1023420.3,146202.9,197235.0,97077.3,7
Rafael Edwin Medina López,1021827.2,170304.53333333333,241539.0,90220.2,6
Ruth Fernández Gómez,1020936.5,170156.08333333334,270451.0,33722.5,6
Leonardo David Polo,1016567.2,145223.88571428572,198380.0,66303.2,7
Lorena Londoño Palacio,1015805.0,169300.83333333334,194157.0,149553.0,6
Jesús Álvarez Velasco,1015797.0,126974.625,207415.0,67469.6,8
Gustavo Castro,1009902.3,168317.05000000002,290748.0,88807.5,6
  Cristian Alberto Ríos  ,1009064.8,126133.1,245458.0,40727.7,8
Julieth Milena Cruz Arévalo,1008146.4,144020.9142857143,168763.0,97507.4,7
María Burgos Rodríguez,1007470.0,201494.0,249998.0,144063.0,5
Jean Velásquez Aguirre,1005962.6,167660.43333333332,226267.0,60170.6,6
Carlos Carlos Parra Valencia,1001829.3,143118.47142857144,215757.0,74017.2,7
Amanda Elena Pinto,995846.7999999999,110649.64444444444,181991.0,69586.9,9
Andrés González,994899.0,165816.5,244051.0,100239.0,6
Emilse Garzón Ríos,994191.4,142027.34285714285,223159.0,71058.4,7
José Carlos Córdoba Bernal,992803.1,124100.3875,168943.0,65705.8,8
Liliana Barrera,984393.1,123049.1375,151086.0,77717.4,8
Dora Reyes García,979135.0,139876.42857142858,194030.0,73336.0,7
Laura García López,977869.9,195573.98,291697.0,80159.9,5
David Peña Cruz,977577.2,139653.88571428572,195199.0,52021.9,7
Yineth Sara Romero,976826.8,139546.68571428573,256617.0,37012.0,7
Jaider Trujillo Muñoz,974352.8,139193.25714285715,298377.0,52847.4,7
David Rojas,969894.0,242473.5,289897.0,156716.0,4
José Rosero Rodríguez,969477.8,121184.725,175606.0,64636.5,8
Leonor Contreras,967607.6,161267.93333333332,233999.0,73035.6,6
Luisa Mosquera Molina,965200.3,160866.71666666667,238918.0,38075.3,6
Esperanza Milena Cardona,964693.4,160782.23333333334,229971.0,73036.4,6
Brayan Nelson González,960414.9,137202.12857142856,171227.0,76517.9,7
María Luz Muñoz Ruiz,959784.0,191956.8,249580.0,141954.0,5
Alexander Sandoval Rentería,957700.0,159616.66666666666,263368.0,101622.0,6
Manuel José González,956601.8,136657.4,185967.0,93855.3,7
Carlos Luis Torres,955846.0,238961.5,274979.0,219780.0,4
María Martha Gallego,952224.7,158704.11666666667,294403.0,73231.5,6
Mauricio Cano Arias,952008.2,158668.03333333333,265792.0,82138.6,6
Héctor González,950654.0,190130.8,296605.0,132255.0,5
Edwin Díaz,949802.2,189960.44,247847.0,81924.2,5
Felipe Miguel Jiménez,948966.0,105440.66666666667,169402.0,43386.8,9
Olga Cecilia Álvarez,946861.8,105206.86666666667,166377.0,54284.4,9
Luz Ospina,942199.4,117774.925,178532.0,49662.8,8
Giovanny Julián Romero,941058.0,235264.5,296737.0,135639.0,4
Giovanny Fajardo Orozco,940564.0,235141.0,297380.0,185115.0,4
Felipe Arturo Rojas,939959.5,156659.91666666666,247505.0,80615.5,6
Yeison Camilo Garzón,939405.0,187881.0,270529.0,160551.0,5
Alix Angie Vélez Mejía,938825.0,156470.83333333334,247486.0,104027.0,6
Santiago Escobar,937741.7,117217.7125,192985.0,39028.8,8
Sonia Rivera,937255.1,133893.5857142857,208760.0,94208.8,7
José Leonardo Hernández,934447.6,155741.26666666666,285363.0,75905.6,6
María Acosta Cuesta,931310.8,116413.85,180348.0,55248.8,8
Eduardo Hurtado Salcedo,930572.8,116321.6,174846.0,31675.3,8
Julia Paola Ruiz Pabón,921699.0,184339.8,243870.0,134796.0,5
Wilmar Fonseca Cano,920857.0,184171.4,237066.0,148526.0,5
Elena Pineda García,920248.0,184049.6,218322.0,159792.0,5
David Fernández Cardona,920243.0,153373.83333333334,232179.0,51549.0,6
Andrés Harold Camacho,915476.7,130782.3857142857,162118.0,82008.0,7
Carolina Yulieth Martínez García,912405.8,152067.63333333333,216267.0,89277.9,6
Julieth Rojas,909445.0,151574.16666666666,204774.0,122862.0,6
Rubiela Ocampo,908229.5,129747.07142857143,243503.0,43418.3,7
César Molina Marín,906903.3,129557.6142857143,171889.0,97455.7,7
Gallego Prada,905207.1,150867.85,226998.0,83307.9,6
Oliva Lina Gutiérrez Pérez,904542.0,226135.5,289701.0,188057.0,4
Margarita Luz Posada Ruiz,903203.0,112900.375,172256.0,38120.8,8
Paola Sandra Martínez,902492.0,180498.4,231209.0,70884.0,5
Luisa González Álvarez,901773.3,128824.75714285715,248136.0,70709.3,7
Tatiana Sandra Pabón,900247.0,225061.75,296426.0,108509.0,4
Marcela Rivera,899276.4,149879.4,227285.0,72946.4,6
Jairo Diego Barrios,899266.8,128466.68571428572,216156.0,55814.9,7
Milena Pérez Fuentes,898612.2,128373.17142857143,162068.0,82300.5,7
Alex Álvaro Orozco Pérez,893980.9,111747.6125,167752.0,59366.0,8
Yolanda Gaitán Mosquera,889725.1,177945.02,292744.0,85393.1,5
Fernando Enrique Ramírez,886817.7,147802.94999999998,209888.0,97086.7,6
Emiro Cristian Orozco Moreno,886408.7,110801.0875,179695.0,71245.7,8
Sandra Natalia Marín,882367.1,176473.41999999998,294352.0,82701.1,5
Gisela Narváez,881441.3,146906.88333333333,254163.0,89121.7,6
Omaira Arévalo Pérez,881095.3,125870.75714285715,210757.0,52545.2,7
Paola Gladis Cortés,880421.5,176084.3,290244.0,95243.5,5
Jhoan José Rodríguez,879772.0,219943.0,283465.0,157245.0,4
Edna Castillo,879550.8,125650.1142857143,181983.0,56338.6,7
Mario Montes Sepúlveda,874088.7,124869.81428571428,190762.0,58905.7,7
Lucía Becerra Alzate,873099.6,174619.91999999998,298878.0,83040.2,5
Alexander Flórez Álvarez,872661.0,145443.5,218620.0,61612.0,6
Ana Nohora Rentería Mena,871554.0,124507.71428571429,196183.0,48368.9,7
Adriana García,871491.3,174298.26,260420.0,96924.3,5
Héctor Suárez,870885.0,217721.25,267959.0,107388.0,4
Juan Olaya Carmona,870302.5,145050.41666666666,246609.0,60294.2,6
Campo Vargas Mendoza,869710.9,144951.81666666668,212421.0,96068.8,6
Paola Yenny Rueda,868942.1,124134.58571428571,179602.0,80961.7,7
Luz Rodríguez,868823.1,124117.58571428571,228918.0,68883.2,7
Robinson Escobar,868641.0,173728.2,264359.0,116240.0,5
Alexander Alejandro Díaz Ramírez,867606.0,216901.5,296238.0,128772.0,4
Manuel Perea,867537.6,123933.94285714286,224370.0,47769.2,7
Magda Marina Londoño,866370.3,144395.05000000002,284620.0,60314.1,6
Kevin Franco,865622.8,173124.56,297609.0,73109.8,5
Estella Pinzón,860582.0,143430.33333333334,176122.0,101798.0,6
Joan Henry Blanco,859046.0,122720.85714285714,207984.0,33564.7,7
Antonio Steven Pérez Rodríguez,856001.0,171200.2,226286.0,100655.0,5
Dayana Paola Ballesteros,855723.5,122246.21428571429,256964.0,35159.9,7
Enrique Carlos Valencia Andrade,855196.2,142532.69999999998,219205.0,31386.2,6
Alfredo Jesús Díaz Carrillo,853854.8,142309.13333333333,233727.0,72373.0,6
Óscar Alexis Vanegas,852291.0,170458.2,256125.0,104712.0,5
Paola Marina Galeano Lara,850901.5,141816.91666666666,228072.0,41468.3,6
Geraldine Cecilia Valencia Lozano,850248.4,106281.05,190548.0,53281.9,8
Leidy Andrea Duque,848157.0,169631.4,255898.0,108244.0,5
Mario Murillo Rincón,847230.3,141205.05000000002,246225.0,63482.0,6
Yaneth Beatriz Pérez,845157.1,140859.51666666666,226192.0,79919.1,6
Elena Luz Guzmán,844950.6,140825.1,178240.0,86668.6,6
Juliana Quintero,844532.9,120647.55714285714,186798.0,79164.8,7
Daniel Hernández Álvarez,843553.7,140592.28333333333,199395.0,72247.7,6
Fabio Henry Ochoa Gómez,843376.0,168675.2,224949.0,119583.0,5
Jennifer Magnolia Andrade Pinzón,842613.9,140435.65,182118.0,68779.9,6
Cristhian Jesús Jaimes,841039.7,140173.28333333333,174800.0,88805.7,6
Sebastián Ariel Ruiz,839277.1,139879.51666666666,239260.0,83175.7,6
Jackeline Marín García,836986.0,167397.2,247570.0,133893.0,5
Elcy Jiménez Sierra,836323.7,119474.81428571428,195961.0,76180.0,7
Gloria Corredor Flórez,835892.2,139315.36666666667,290103.0,90230.5,6
Ramón Andrés Salgado,833866.8,92651.86666666667,135569.0,47514.2,9
Jorge Carlos Salamanca,832329.4,92481.04444444444,178854.0,46013.6,9
María Morales Cruz,832214.0,166442.8,227582.0,71882.0,5
Ana Patricia Daza,830090.0,118584.28571428571,259628.0,-131304.0,7
Eduardo Suárez Arboleda,825623.8,137603.96666666667,199982.0,63246.0,6
Antonio Javier García,825408.2,165081.63999999998,249196.0,90694.6,5
Alexander Alfonso Castellanos,823999.7,137333.28333333333,234215.0,83312.7,6
Carlos Agudelo,823199.5,164639.9,238584.0,76583.5,5
Kevin Sarmiento,822947.0,164589.4,273991.0,82128.0,5
Luis Acevedo,821919.6,136986.6,167622.0,88373.2,6
Hilda Geraldine Orjuela,819991.4,163998.28,275929.0,50020.4,5
Eugenio Gustavo Contreras Pérez,819760.6,136626.76666666666,211663.0,76591.6,6
Julio Michael García Álvarez,817251.4,136208.56666666668,255501.0,70217.0,6
Carlos Méndez,814073.0,203518.25,288682.0,121767.0,4
Diana María Ordóñez Vásquez,812340.6,135390.1,204454.0,99230.6,6
Alejandra Nelly Torres,811942.9,115991.84285714287,145540.0,73230.6,7
Luis Alexis Lozano,811008.6,135168.1,185576.0,96453.6,6
Jesús Eugenio Díaz,810304.1,135050.68333333332,236311.0,50791.0,6
Liliana Sánchez Rodríguez,810193.0,202548.25,294164.0,110544.0,4
Luis José Figueroa Peña,806784.4,161356.88,241672.0,74905.4,5
Jorge Efrain Aguirre,806129.0,161225.8,244876.0,92047.0,5
Alcira Diana Murcia,806074.9,134345.81666666668,243379.0,65232.9,6
Paula Clemencia Hernández,803111.0,160622.2,201123.0,91091.0,5
Geraldine Ruiz Vergara,799533.2,114219.02857142857,168558.0,74425.6,7
José Fernando Ávila Arias,797755.1,132959.18333333332,203513.0,80442.3,6
Raúl Osorio Cano,797074.6,113867.8,149081.0,50571.4,7
Deyanira Peña Gómez,796966.5,132827.75,174113.0,75908.8,6
Jean Antonio Contreras González,795263.4,113609.05714285714,223333.0,55788.2,7
Antonio Parra Montoya,794754.4,132459.06666666668,278979.0,74028.0,6
José Daza,794137.0,198534.25,249057.0,151216.0,4
Juan Andrés Palacio León,793841.0,132306.83333333334,184427.0,60744.0,6
Magda Ramírez,792657.0,198164.25,263206.0,115252.0,4
Sofía Solano Valencia,791628.0,197907.0,216884.0,176861.0,4
Claudia Karen López,791130.0,158226.0,251797.0,67263.0,5
Fernando Reyes,790938.0,197734.5,268815.0,149404.0,4
Humberto Rodríguez Parra,790610.0,197652.5,275528.0,149016.0,4
Katherine Inés Ochoa Duarte,789025.0,197256.25,243280.0,162966.0,4
Julieth Luna,788747.2,112678.17142857143,195977.0,55442.2,7
Erika Diana Valencia León,786913.1,157382.62,237396.0,93345.1,5
Hernán Guillermo Sierra Londoño,786772.3,157354.46000000002,236088.0,70317.3,5
Arnulfo Ortiz,786645.0,157329.0,188413.0,111844.0,5
José Alvarado,786085.0,157217.0,187585.0,115679.0,5
Alonso Guillermo Mosquera Solano,785848.0,157169.6,178032.0,120536.0,5
Mario Sánchez,785270.4,112181.48571428572,137202.0,49510.9,7
Marta Arrieta García,781432.8,111633.25714285715,148264.0,70688.6,7
Patricia Muñoz,781039.5,97629.9375,233001.0,41039.7,8
María María Gómez Sánchez,779208.1,111315.44285714286,231960.0,62834.4,7
Nelson Giovanny Hernández Toro,778289.0,155657.8,199044.0,106722.0,5
Manuel Mendoza Jaramillo,777596.8,155519.36000000002,245654.0,66487.8,5
Joel Flórez,776556.2,155311.24,222729.0,90414.2,5
Laura Rodríguez Torres,775757.9,110822.55714285714,219212.0,39892.7,7
Stiven Pablo Agudelo Gutiérrez,773915.0,154783.0,285250.0,91219.4,5
María Isabel Molina,773177.0,154635.4,214643.0,109360.0,5
Manuel Juan Calderón,772661.7,110380.24285714285,179023.0,48237.1,7
María Valencia,770515.0,192628.75,290216.0,145563.0,4
José Martínez Arrieta,770088.0,192522.0,288754.0,144947.0,4
Patricia Jaramillo Vega,770040.0,192510.0,245386.0,147278.0,4
Andrés Eduardo Mejía,768916.0,153783.2,275427.0,49586.2,5
Catalina Ríos Marín,767902.7,127983.78333333333,290552.0,61856.9,6
Aurora Adriana Vélez,767197.0,95899.625,150951.0,33599.6,8
Patricia Perea Bautista,765901.0,255300.33333333334,266446.0,247284.0,3
Paola Giraldo Guerrero,765623.3,127603.88333333335,288330.0,55153.8,6
Jair Pérez Valencia,761427.0,190356.75,240245.0,139949.0,4
Jaime Adrián Rodríguez Escobar,759296.3,126549.38333333335,173232.0,85610.3,6
Jhan Ramírez Fernández,759050.0,151810.0,177373.0,118550.0,5
Cristian Osorio,758842.8,151768.56,241482.0,61173.8,5
Miguel Diego Ruiz,758572.8,126428.8,179264.0,85928.9,6
Nancy Daniela Jaramillo Quintero,758381.8,189595.45,293122.0,71962.8,4
María Murillo Acosta,754758.0,150951.6,200068.0,110553.0,5
Luisa Galeano Chaparro,754441.5,188610.375,293383.0,53588.5,4
Yuri Torres Martínez,752479.8,125413.3,181585.0,72650.6,6
  Andrea Nury Hernández Mora  ,752417.1,125402.84999999999,169468.0,79313.5,6
Mauricio Luis Benítez Rojas,752066.3,107438.04285714286,190050.0,51675.0,7
Hernando Carlos Rojas,750490.8,125081.8,177779.0,67774.3,6
Viviana Muñoz Guzmán,747934.0,124655.66666666667,147105.0,101938.0,6
Azucena Johana Castillo Montes,747789.0,186947.25,259523.0,100027.0,4
Clemencia Claudia Sierra,746251.6,124375.26666666666,178153.0,66385.9,6
Lorena Hernández,746246.9,149249.38,191865.0,97804.9,5
Cristian Murillo,746099.0,248699.66666666666,285419.0,176944.0,3
Jhon Juan Morales Suárez,745997.2,106571.02857142857,148589.0,48007.5,7
Carlos Ramos,745711.7,124285.28333333333,172477.0,38318.7,6
Eduardo José Cardona,744740.8,148948.16,292788.0,55339.4,5
Héctor Mesa Pérez,744401.1,148880.22,272157.0,63579.0,5
Tatiana Valderrama Lozano,744176.5,124029.41666666667,166227.0,67592.5,6
Rodrigo Alberto Hernández,743718.3,123953.05,214296.0,83474.8,6
Claudia Rivas,743205.0,185801.25,285352.0,108492.0,4
Yair Díaz,742823.5,123803.91666666667,156340.0,80556.5,6
Campo Suárez Ayala,740964.6,105852.08571428571,137192.0,57406.3,7
Andrés Gamboa Herrera,739953.7,147990.74,169964.0,95805.7,5
César Javier Benavides Jiménez,739469.7999999999,123244.96666666666,168330.0,74158.8,6
Fredy Ávila Sánchez,738457.0,147691.4,164338.0,109734.0,5
Mónica Medina López,736554.0,184138.5,247169.0,108205.0,4
Armando Pérez,736510.0,147302.0,176443.0,100077.0,5
Martha María Castellanos,735185.5,147037.1,249309.0,51496.4,5
Ferney Fabio Martínez García,732605.0,146521.0,221149.0,91789.0,5
Kevin Gregorio Vargas,731235.3,146247.06,236821.0,75854.3,5
Rosa Karen Lozano,729778.8,145955.76,219991.0,49899.8,5
Antonio Samir Forero Sandoval,725402.0,241800.66666666666,280414.0,182161.0,3
Alcira Aura Gamboa,725351.0,120891.83333333333,200280.0,51570.1,6
Gabriela Solano,724571.3,144914.26,189734.0,58361.3,5
Beatriz Sánchez Riascos,723617.0,241205.66666666666,268337.0,208324.0,3
Franco Wilfrido Quintero,723265.0,180816.25,252802.0,128949.0,4
Esther Milena Bernal García,722724.9,120454.15000000001,233796.0,74358.8,6
Karen Luz Gutiérrez Posada,720727.0,144145.4,179729.0,84044.0,5
Ángel Ricardo Flórez,715881.3,143176.26,216130.0,74871.3,5
Yasmín Muñoz,715348.6,119224.76666666666,204023.0,78907.6,6
Marina Gómez,713812.2,101973.17142857143,139329.0,61157.7,7
Arnulfo Manuel Moreno,713737.8,142747.56,185262.0,91214.8,5
Johana Lucy Henao,712382.0,178095.5,246249.0,149582.0,4
Ángela Carmona Torres,711882.0,237294.0,280400.0,214709.0,3
Rafael Giraldo,711085.5,142217.1,206799.0,53633.5,5
Felipe Castro Álvarez,709937.9,141987.58000000002,237680.0,89519.9,5
Fabián Vergara Beltrán,709831.7,118305.28333333333,165676.0,46405.1,6
James López Prieto,709721.8,101388.82857142857,176509.0,30942.2,7
David Esneider Mendoza,708267.3,118044.55,149158.0,78364.3,6
Aníbal Adrián Páez,703918.5,140783.7,193139.0,74867.5,5
Ignacio Paz Rodríguez,702966.7,100423.81428571428,171695.0,41866.4,7
Claudia Daniela Gómez Castillo,701501.4,140300.28,258822.0,48815.8,5
Carlos José Carvajal Lara,701196.6,175299.15,292829.0,74928.6,4
Fernando Augusto Valencia,699874.0,116645.66666666667,193651.0,57823.0,6
Cecilia Azucena Prieto Torres,699530.8,174882.7,244185.0,80194.8,4
